"File","Pattern","LineNumber","Line","Match"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\realtime\route.ts","fetch","8","const response = await fetch(`${backendUrl}/api/analytics/realtime`, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\realtime\route.ts","httpUrl","5","const backendUrl = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001';","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\realtime\route.ts","nextEnv","5","const backendUrl = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001';","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\traffic-sources\route.ts","fetch","12","const response = await fetch(`${backendUrl}/api/analytics/traffic-sources?timeframe=${timeframe}`, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\traffic-sources\route.ts","httpUrl","8","const backendUrl = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001';","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\traffic-sources\route.ts","nextEnv","8","const backendUrl = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001';","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\contact\route.ts","fetch","16","const backendResponse = await fetch(backendUrl, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\geolocation\route.ts","fetch","3","const response = await fetch('https://ipapi.co/json/');","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\geolocation\route.ts","httpUrl","3","const response = await fetch('https://ipapi.co/json/');","https://ipapi.co"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\orders\route.ts","fetch","68","const response = await fetch(`${backendUrl}/api/orders/guest`, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\orders\route.ts","httpUrl","67","const backendUrl = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\orders\route.ts","nextEnv","67","const backendUrl = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\products\route.ts","fetch","12","const backendResponse = await fetch(fullUrl, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\products\route.ts","fetch","55","const backendResponse = await fetch(backendUrl, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\CustomersManagement.tsx","fetch","44","const response = await fetch(`${API_BASE_URL}/api/customers`)","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\CustomersManagement.tsx","fetch","63","const response = await fetch(`${API_BASE_URL}/api/customers/${customerId}`, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\CustomersManagement.tsx","fetch","91","const response = await fetch(`${API_BASE_URL}/api/customers/${customerId}`, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\CustomersManagement.tsx","httpUrl","43","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\CustomersManagement.tsx","httpUrl","62","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\CustomersManagement.tsx","httpUrl","90","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\CustomersManagement.tsx","nextEnv","43","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\CustomersManagement.tsx","nextEnv","62","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\CustomersManagement.tsx","nextEnv","90","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\DashboardOverview.tsx","fetch","26","const response = await fetch(`${API_BASE_URL}/api/analytics/dashboard?timeframe=${timeframe}`)","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\DashboardOverview.tsx","httpUrl","25","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\DashboardOverview.tsx","nextEnv","25","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\OrdersManagement.tsx","fetch","65","const response = await fetch(`${API_BASE_URL}/api/orders`)","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\OrdersManagement.tsx","fetch","84","const response = await fetch(`${API_BASE_URL}/api/orders/${orderId}`, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\OrdersManagement.tsx","fetch","112","const response = await fetch(`${API_BASE_URL}/api/orders/${orderId}`, {","fetch("
